,Time (µs),Radius (nm)
991,9.91,7.8467894
992,9.92,7.9131937
993,9.93,7.9598494
994,9.94,7.7278967
995,9.95,7.6387644
996,9.96,7.5156755
997,9.97,7.546833
998,9.98,7.771024
999,9.99,7.730817
1000,10.0,7.592397
