,POPC Outer,POPC Inner,POPE Outer,POPE Inner
891,2853,2463,2770,2560
892,2823,2493,2752,2578
893,2789,2527,2708,2622
894,2811,2505,2718,2612
895,2796,2520,2745,2585
896,2810,2506,2711,2619
897,2813,2503,2740,2590
898,2767,2549,2727,2603
899,2796,2520,2723,2607
900,2842,2474,2702,2628
901,2764,2552,2691,2639
902,2838,2478,2730,2600
903,2792,2524,2694,2636
904,2833,2483,2709,2621
905,2800,2516,2749,2581
906,2778,2538,2712,2618
907,2806,2510,2699,2631
908,2811,2505,2742,2588
909,2808,2508,2716,2614
910,2807,2509,2710,2620
911,2807,2509,2732,2598
912,2785,2531,2720,2610
913,2803,2513,2680,2650
914,2823,2493,2713,2617
915,2850,2466,2749,2581
916,2818,2498,2709,2621
917,2849,2467,2689,2641
918,2824,2492,2702,2628
919,2836,2480,2758,2572
920,2819,2497,2678,2652
921,2783,2533,2714,2616
922,2842,2474,2692,2638
923,2817,2499,2753,2577
924,2840,2476,2720,2610
925,2821,2495,2711,2619
926,2830,2486,2681,2649
927,2850,2466,2725,2605
928,2840,2476,2708,2622
929,2828,2488,2696,2634
930,2818,2498,2694,2636
931,2798,2518,2673,2657
932,2799,2517,2722,2608
933,2823,2493,2721,2609
934,2799,2517,2725,2605
935,2831,2485,2698,2632
936,2809,2507,2756,2574
937,2790,2526,2738,2592
938,2795,2521,2719,2611
939,2836,2480,2719,2611
940,2804,2512,2704,2626
941,2844,2472,2732,2598
942,2834,2482,2710,2620
943,2859,2457,2683,2647
944,2863,2453,2737,2593
945,2806,2510,2710,2620
946,2848,2468,2714,2616
947,2863,2453,2697,2633
948,2808,2508,2704,2626
949,2821,2495,2691,2639
950,2792,2524,2726,2604
951,2844,2472,2711,2619
952,2847,2469,2703,2627
953,2867,2449,2739,2591
954,2875,2441,2751,2579
955,2813,2503,2686,2644
956,2837,2479,2703,2627
957,2865,2451,2734,2596
958,2821,2495,2689,2641
959,2826,2490,2688,2642
960,2828,2488,2676,2654
961,2819,2497,2721,2609
962,2831,2485,2684,2646
963,2810,2506,2650,2680
964,2793,2523,2724,2606
965,2810,2506,2682,2648
966,2811,2505,2703,2627
967,2813,2503,2701,2629
968,2813,2503,2743,2587
969,2831,2485,2727,2603
970,2815,2501,2683,2647
971,2845,2471,2718,2612
972,2836,2480,2710,2620
973,2834,2482,2716,2614
974,2833,2483,2751,2579
975,2828,2488,2766,2564
976,2796,2520,2705,2625
977,2839,2477,2720,2610
978,2824,2492,2719,2611
979,2802,2514,2706,2624
980,2827,2489,2738,2592
981,2816,2500,2747,2583
982,2802,2514,2747,2583
983,2805,2511,2722,2608
984,2838,2478,2716,2614
985,2828,2488,2735,2595
986,2814,2502,2704,2626
987,2793,2523,2751,2579
